id,street,street_from,street_to,install_year,verify_install_year,verify_install_year_diff,install_type,verify_install_type,road_type,road_type_recode,verify_install_date,verify_install_comment,verify_upgrade1_year,verify_upgrade1_date,verify_upgrade1_type,verify_upgrade1_comment,verify_upgrade2_year,verify_upgrade2_date,verify_upgrade2_type,verify_upgrade2_comment,verify_misclass,geometry_len_km,clean_install_date_raw_count,clean_install_date_type,clean_install_date,clean_install_date_start,clean_install_date_end,clean_install_date_prepost,clean_install_date_notes,clean_upgrade1_date_raw_count,clean_upgrade1_date_type,clean_upgrade1_date,clean_upgrade1_date_start,clean_upgrade1_date_end,clean_upgrade1_date_prepost,clean_upgrade1_date_notes,clean_upgrade2_date_raw_count,clean_upgrade2_date_type,clean_upgrade2_date,clean_upgrade2_date_start,clean_upgrade2_date_end,clean_upgrade2_date_prepost,clean_upgrade2_date_notes,clean_install_semester,clean_upgrade1_semester,clean_upgrade2_semester,geometry_wkb
"948",Eastern Ave,Logan Ave,Leslie St,"2008","2009","1",Bike Lane,PL,Minor Arterial,Arterial,Pre-2009,"Sep 2021 SV: https://www.google.com/maps/@43.6579799,-79.3408905,3a,75y,122.77h,84.96t/data=!3m6!1e1!3m4!1sYI6BzyhtqVXPtkySZ8EfLA!2e0!7i16384!8i8192?entry=ttu",,,,,,,,,,"1.077209571513782","209",pre_year,,,,"2009",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.3414 43.65788, -79.34018 43.65814, -79.33896 43.6584, -79.3384 43.65853, -79.3378 43.65867, -79.33722 43.6588, -79.3366 43.65893, -79.33514 43.65925, -79.33418 43.65945, -79.33369 43.65956, -79.33319 43.65967, -79.33267 43.65977, -79.33216 43.65988, -79.33165 43.66, -79.33115 43.66012, -79.33091 43.66017, -79.3307 43.66041, -79.33029 43.66089, -79.32993 43.66132, -79.32991 43.66135, -79.32979 43.66144, -79.32948 43.66155))"
"949",Rogers Rd,Old Weston Rd,Oakwood Ave,"2008","2009","1",Bike Lane,PL,Minor Arterial,Arterial,Pre-2009,"PL Pre-2009: https://www.google.com/maps/@43.6837207,-79.4540041,3a,75y,254.25h,69.43t/data=!3m7!1e1!3m5!1sa8JnzlRJ7qhIaCs50mT7rw!2e0!5s20090701T000000!7i13312!8i6656?entry=ttu. No upgrades since.",,,,,,,,,,"2.431566915307448","209",pre_year,,,,"2009",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.43869 43.68713, -79.43967 43.68692, -79.44063 43.68671, -79.44162 43.68651, -79.44285 43.68625, -79.44397 43.68603, -79.44503 43.6858, -79.44612 43.68557, -79.44662 43.68546, -79.44714 43.68535, -79.44814 43.68502, -79.44867 43.68488, -79.44929 43.68472, -79.44988 43.68459, -79.4505 43.68445, -79.45108 43.68432, -79.45171 43.68418, -79.45228 43.68406, -79.45289 43.68393, -79.45346 43.68381, -79.45355 43.68379, -79.45604 43.68324, -79.45663 43.68311, -79.45669 43.6831, -79.45691 43.68306, -79.4571 43.68304, -79.45724 43.68303, -79.45728 43.68303, -79.45746 43.68304, -79.45769 43.68304, -79.45802 43.6831, -79.45847 43.6832, -79.45884 43.68327, -79.45959 43.68342, -79.45979 43.68345, -79.46001 43.68344, -79.46019 43.68344, -79.46026 43.68344, -79.4613 43.68324, -79.46225 43.68301, -79.46332 43.68278, -79.4644 43.68254, -79.46546 43.68231, -79.46654 43.68206, -79.46715 43.68194, -79.46745 43.68189, -79.46758 43.68188, -79.46768 43.6819))"
"950",Yonge St,Front St W,Queen Quay W,"2008","2009","1",Bike Lane,PL,Major Arterial,Arterial,Jun - Sep 2009,"Aug 2011 SV: https://www.google.com/maps/@43.641925,-79.3745873,3a,33.7y,330.43h,92.21t/data=!3m7!1e1!3m5!1sFmSsrg3xzUe_9abdVNTrnA!2e0!5s20110801T000000!7i13312!8i6656?entry=ttu",,,,,,,,,,"0.5817018692926148","1",range,,2009/06/01 00:00:00,2009-09-30,,,,,,,,,,,,,,,,,"1",,,"MULTILINESTRING ((-79.37471 43.64193, -79.37487 43.6422, -79.37514 43.64267, -79.37515 43.64269, -79.37517 43.64271, -79.37523 43.64276, -79.37525 43.64279, -79.37528 43.64285, -79.3753 43.6429, -79.37533 43.64296, -79.37536 43.64301, -79.37538 43.64307, -79.37541 43.64313, -79.37543 43.64319, -79.37545 43.64325, -79.37548 43.64331, -79.37549 43.64336, -79.37551 43.64342, -79.37553 43.64348, -79.37556 43.64353, -79.37574 43.64398, -79.37575 43.64402, -79.37577 43.64406, -79.37581 43.64416, -79.37586 43.64428, -79.37617 43.645, -79.37635 43.64544, -79.3765 43.64578, -79.37697 43.64688))"
"963",Royal York Rd,Ashley Rd,Lambeth Rd,"2008","2015","7",Bike Lane,PL,Minor Arterial,Arterial,May - Sep 2015,"SV Sep 2015: https://www.google.com/maps/@43.6617695,-79.5177067,3a,75y,161.97h,68.98t/data=!3m7!1e1!3m5!1sm6GKMutNFsm8rkn4FS9a0g!2e0!5s20150901T000000!7i13312!8i6656?entry=ttu",,,,,,,,,,"0.268695598480643","1",range,,2015/05/01 00:00:00,2015-09-30,,,,,,,,,,,,,,,,,"1",,,"MULTILINESTRING ((-79.51734 43.66086, -79.5176 43.66139, -79.51809 43.66243, -79.51826 43.66286, -79.5184 43.66315))"
"1023",Gerrard St E,Sherbourne St,Berkeley St,"2001","2007","6",Cycle Track,PL,Minor Arterial,Arterial,pre Sep 2007,"Sep 2007 SV: https://www.google.com/maps/@43.6611964,-79.3722234,3a,47.7y,82.4h,86.25t/data=!3m7!1e1!3m5!1sj55hg6L4puq9H_br10p6aw!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",,,,,,,,,,"0.3109490745951362","21",pre_month,,,,2007-09,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.37224 43.66123, -79.37144 43.6614, -79.3707 43.66156, -79.36972 43.66178, -79.36854 43.66204))"
"1031",Bay St,College St,Dundas St W,"2010","2014","4",Bike Lane,PL,Major Arterial,Arterial,Jun-Sep 2014,"PL installed post Jun 2014; SV Sep 2014: https://www.google.com/maps/@43.6564267,-79.3839823,3a,30y,351.49h,82.75t/data=!3m7!1e1!3m5!1sNk7newGIoQebtdmGKjlOgA!2e0!5s20140901T000000!7i13312!8i6656?entry=ttu",,,,"No prior cycling infrastructure from pre-sep2007 to Jun 2014; Shared lane for buses, cars and bikes sign sep 2007 (https://www.google.com/maps/@43.6564267,-79.3839823,3a,30y,351.49h,82.75t/data=!3m7!1e1!3m5!1sNk7newGIoQebtdmGKjlOgA!2e0!5s20140901T000000!",,,,,,"0.5914480561561524","1",range,,2014/06/01 00:00:00,2014-09-30,,,,,,,,,,,,,,,,,"1",,,"MULTILINESTRING ((-79.38377 43.65572, -79.38406 43.65644, -79.38442 43.65731, -79.38471 43.65807, -79.38489 43.65851, -79.3852 43.65923, -79.38585 43.66082))"
"1045",Runnymede Rd,Maria St,Bloor St W,"2002","2009","7",Bike Lane,PL,Minor Arterial,Arterial,Pre-2009,"PL inst-pre2009: https://www.google.com/maps/@43.6612152,-79.4803509,3a,26.8y,167.75h,79.23t/data=!3m7!1e1!3m5!1sjVbFoLWlIlyykR_pY9FU5w!2e0!5s20090701T000000!7i13312!8i6656?entry=ttu . No upgr",,,,,,,,,,"1.759829166177975","209",pre_year,,,,"2009",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.4763 43.65114, -79.47712 43.6531, -79.4778 43.65476, -79.47826 43.65582, -79.47868 43.65678, -79.4787 43.65684, -79.47899 43.6575, -79.47913 43.65785, -79.4793 43.65821, -79.47943 43.65858, -79.47969 43.65922, -79.47974 43.65938, -79.48002 43.66006, -79.48013 43.66045, -79.48015 43.66049, -79.48042 43.66129, -79.48053 43.6617, -79.48061 43.66192, -79.48072 43.66222, -79.48107 43.66301, -79.48123 43.6634, -79.4814 43.66381, -79.48194 43.66516, -79.48211 43.66558, -79.48227 43.66598, -79.48242 43.66633))"
"1046",Fort York Blvd,Lake Shore Blvd W,Bathurst St,"2002","2007","5",Bike Lane,PL,Minor Arterial,Arterial,pre-2007,"PL since before Sep 2007, no upgrade since",,,,,,,,,,"0.7141128476333678","15",pre_year,,,,"2007",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.40064 43.63884, -79.40065 43.63884, -79.40094 43.63873, -79.40108 43.63868, -79.40119 43.63864, -79.40136 43.63857, -79.4015 43.6385, -79.40163 43.63845, -79.40176 43.63838, -79.40185 43.63833, -79.40215 43.63819, -79.4024 43.63806, -79.40276 43.63789, -79.40285 43.63785, -79.40349 43.6376, -79.40354 43.63759, -79.40379 43.63756, -79.40387 43.63756, -79.40422 43.63755, -79.40439 43.63755, -79.40473 43.63753, -79.40522 43.63747, -79.40586 43.6374, -79.4062 43.63732, -79.40646 43.6372, -79.40651 43.63715, -79.40666 43.63701, -79.40671 43.63693, -79.40675 43.63687, -79.40679 43.63676, -79.40681 43.63667, -79.40684 43.63639, -79.40686 43.63624, -79.40687 43.63615, -79.40687 43.63609, -79.40687 43.63603, -79.40686 43.63595, -79.40683 43.63584, -79.40671 43.63548))"
"1060",Martin Grove Rd,50m S Nottinghill Gt,Rathburn Rd,"2002","2007","5",Bike Lane,PL,Minor Arterial,Arterial,pre Sep 2007,,,,,"No infrastructure type upgrade, PL was improved with extended lines and addition of road markings",,,,,,"1.801305921064595","21",pre_month,,,,2007-09,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.55525 43.65704, -79.55568 43.65802, -79.55569 43.65805, -79.55572 43.65812, -79.55593 43.65854, -79.55634 43.65939, -79.55663 43.66007, -79.55728 43.66149, -79.55774 43.66249, -79.55799 43.66305, -79.55843 43.66401, -79.5586 43.6644, -79.55949 43.66632, -79.55969 43.66677, -79.56048 43.66852, -79.56076 43.66919, -79.562 43.67187, -79.56201 43.6719, -79.56225 43.67242))"
"1068",Lower Sherbourne St,50 M N Queens Quay Blvd East,Queens Quay Blvd E,"2001","2011","10",Cycle Track - Contraflow,PL,Minor Arterial,Arterial,,"PL one way: https://www.google.com/maps/@43.6453746,-79.3655757,3a,32.8y,345.42h,80.68t/data=!3m7!1e1!3m5!1s-FJjOslkFngV6vAfEyQIAw!2e0!5s20110801T000000!7i13312!8i6656?entry=ttu","2016",Between 2015 - 2017,PBL,"Upgrade to PBL: https://www.google.com/maps/@43.6453679,-79.365577,3a,90y,10.85h,63.55t/data=!3m7!1e1!3m5!1sPAU_89xRKcRZvLfpCtA9DA!2e0!5s20170801T000000!7i13312!8i6656?entry=ttu",,,,,,"0.04849483739772366",,,,,,,,"1",range,,2015/01/01 00:00:00,2017-12-31,,,,,,,,,,,,,"MULTILINESTRING ((-79.36542 43.64518, -79.36547 43.64524, -79.36554 43.64532, -79.36559 43.6454, -79.36564 43.64547, -79.36568 43.64554, -79.3657 43.64557))"
"1071",Davenport Rd,Hector Ave,Spadina Rd,"2001","2007","6",Bike Lane,PL,Minor Arterial,Arterial,Pre-2007,"Sep 2007 SV: https://www.google.com/maps/@43.6753485,-79.4240009,3a,49.1y,77.88h,81.85t/data=!3m7!1e1!3m5!1sy1NBU0SnMnHis7VKuq5fKw!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",,,,,,,,,,"1.321525533346799","91",pre_year,,,,"2007",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.40813 43.67742, -79.40926 43.67712, -79.41014 43.67688, -79.41037 43.67684, -79.41223 43.6768, -79.41337 43.67681, -79.41473 43.67674, -79.41522 43.67674, -79.41579 43.67673, -79.41613 43.67673, -79.41666 43.67673, -79.41707 43.67676, -79.41748 43.67677, -79.41783 43.67675, -79.41832 43.67672, -79.41873 43.67668, -79.41895 43.67666, -79.41898 43.67666, -79.41919 43.67662, -79.41963 43.67654, -79.42005 43.67643, -79.4205 43.6763, -79.42309 43.67556, -79.42408 43.67532, -79.42408 43.67532))"
"1072",Davenport Rd,Dovercourt Rd,Ossington Ave,"2001","2009","8",Bike Lane,PL,Minor Arterial,Arterial,Sep 2007 - Jun 2009*,,"2020",,PL,No changes in type,,,,,,"0.2989929285115851","7",range,,2007/09/01 00:00:00,2009-06-30,,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.43098 43.67472, -79.43217 43.6746, -79.43262 43.67457, -79.43305 43.67451, -79.43378 43.67441, -79.43465 43.67429))"
"1073",Davenport Rd,St Clarens Ave,Mc Farland Ave,"2001","2009","8",Bike Lane,PL,Minor Arterial,Arterial,Sep 2007 - Jun 2009*,,"2020",,PL,No changes in type,,,,,,"0.4479184923426702","7",range,,2007/09/01 00:00:00,2009-06-30,,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.44211 43.67273, -79.44262 43.67262, -79.44377 43.67238, -79.44455 43.67221, -79.44475 43.67217, -79.4451 43.67209, -79.44562 43.67201, -79.44605 43.67194, -79.44723 43.67173, -79.44749 43.6717))"
"1074",Davenport Rd,Foundry Ave,St Clarens Ave,"2001","2009","8",Bike Lane,PL,Minor Arterial,Arterial,Sep 2007 - Jun 2009*,,"2020",,PL,No changes in type,,,,,,"0.1592244684856627","7",range,,2007/09/01 00:00:00,2009-06-30,,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.44749 43.6717, -79.4483 43.67156, -79.44942 43.67137))"
"1075",Davenport Rd,Bristol Ave,Dovercourt Rd,"2001","2009","8",Bike Lane,PL,Minor Arterial,Arterial,Sep 2007 - Jun 2009*,"*installation window for lane on south side of street; North side PL installed pre- sep 2007, lane signage with missing road markings SV sep 2007: https://www.google.ca/maps/@43.6741019,-79.4358781,3a,25.5y,92.66h,86.28t/data=!3m7!1e1!3m5!1s_wIMmOW3fNsw0","2020",,PL,No changes in type,,,,,,"0.4094307901611272","7",range,,2007/09/01 00:00:00,2009-06-30,,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.43465 43.67429, -79.43593 43.67414, -79.43714 43.67397, -79.43733 43.67396, -79.43747 43.67394, -79.43765 43.67391, -79.43809 43.67379, -79.43835 43.67371, -79.4384 43.67369, -79.43953 43.67332))"
"1076",Davenport Rd,Mc Farland Ave,Bristol Ave,"2001","2009","8",Bike Lane,PL,Minor Arterial,Arterial,Sep 2007 - Jun 2009*,,"2020",,PL,No changes in type,,,,,,"0.2180899753737155","7",range,,2007/09/01 00:00:00,2009-06-30,,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.43953 43.67332, -79.441 43.67299, -79.44186 43.67279, -79.44211 43.67273))"
"1079",Strachan,Adelaide St W,King St W,"2006","2018","12",Bike Lane,PL,Collector,Collector,May - Jul 2018,"Jul 2018 SV: https://www.google.com/maps/@43.6433362,-79.412424,3a,75y,151.26h,67.01t/data=!3m7!1e1!3m5!1s62bMW0X75sReZHIg-4-gxQ!2e0!5s20180701T000000!7i16384!8i8192?entry=ttu",,,,,,,,,,"0.1495803192049794","1",range,,2018/05/01 00:00:00,2018-07-31,,,,,,,,,,,,,,,,,"1",,,"MULTILINESTRING ((-79.41197 43.64204, -79.41245 43.64334))"
"1081",Dundas St E,Broadview Ave,Kingston Rd,"2003","2007","4",Cycle Track,PL,Minor Arterial,Arterial,pre-2007,"Sep 2007 SV: https://www.google.com/maps/@43.6626618,-79.3505237,3a,50.2y,116.63h,82.92t/data=!3m7!1e1!3m5!1sYDULLfwP9fSSPNrFE305Yg!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu","2020",OCT 2020 - JUN 2021,PBL,"PBL upgrade on both sides of the street but alternating sides in segments make up <50% of entire street segment infrastructure;  Sep 2021 SV PBL switching sides: https://www.google.com/maps/@43.6636368,-79.3458959,3a,75y,60.57h,77.29t/data=!3m7!1e1!3m5!1",,,,,,"3.368812868066521","15",pre_year,,,,"2007",,"2",range,,2020/10/01 00:00:00,2021-06-30,,,,,,,,,,,"2",,"MULTILINESTRING ((-79.35136 43.66247, -79.35086 43.66258, -79.34915 43.66297, -79.34822 43.66318, -79.34732 43.66341, -79.34688 43.6635, -79.34662 43.66355, -79.34634 43.66359, -79.34631 43.6636, -79.34592 43.66365, -79.34558 43.66371, -79.34504 43.66377, -79.34491 43.66378, -79.34462 43.66381, -79.34443 43.66384, -79.34386 43.66392, -79.34363 43.66397, -79.3433 43.66408, -79.34304 43.66416, -79.34247 43.66442, -79.34196 43.66468, -79.34161 43.66484, -79.34139 43.66492, -79.34035 43.66517, -79.3398 43.66529, -79.33926 43.66542, -79.33876 43.66553, -79.33872 43.66553, -79.33801 43.66569, -79.33745 43.66581, -79.33703 43.66588, -79.33688 43.6659, -79.33678 43.66591, -79.33643 43.66593, -79.33486 43.66611, -79.33432 43.66617, -79.33289 43.66647, -79.33229 43.66661, -79.33172 43.66673, -79.33109 43.66688, -79.3307 43.66697, -79.33055 43.66699, -79.32938 43.66729, -79.32886 43.6674, -79.32869 43.66744, -79.32864 43.66745, -79.32849 43.66748, -79.32826 43.66751, -79.32807 43.66753, -79.32805 43.66753, -79.32764 43.66757, -79.32746 43.66759, -79.32664 43.6676, -79.32606 43.66762, -79.32552 43.66765, -79.3245 43.66769, -79.32348 43.66774, -79.32307 43.66776, -79.3229 43.66777, -79.32275 43.66778, -79.32261 43.6678, -79.32234 43.66786, -79.32127 43.66809, -79.32108 43.66812, -79.32018 43.66833, -79.31957 43.66847, -79.31874 43.66865, -79.31758 43.6687, -79.31743 43.66871, -79.31566 43.66911, -79.31553 43.66914, -79.31502 43.66918, -79.3141 43.66925, -79.31399 43.66927, -79.31388 43.66929, -79.31381 43.6693, -79.31375 43.66931, -79.31362 43.66935, -79.31352 43.66938, -79.31342 43.66942, -79.31322 43.6695, -79.31315 43.66955, -79.31307 43.66959, -79.31296 43.66965, -79.31288 43.66968, -79.31277 43.66972, -79.31265 43.66977, -79.31254 43.66981, -79.31234 43.66991, -79.31118 43.66997))"
"1088",Royal York Rd,Bloor St W,Lake Shore Blvd W,"2004","2009","5",Bike Lane,PL,Minor Arterial,Arterial,Pre-2009,"no further infrastructure upgrades. K- PRE 2009: https://www.google.com/maps/@43.6048165,-79.4936066,3a,75y,8.43h,80.34t/data=!3m7!1e1!3m5!1scgRqkGb3i_4wm-7PE_udCA!2e0!5s20090501T000000!7i13312!8i6656?entry=ttu",,,,,,,,,,"5.089162040384989","209",pre_year,,,,"2009",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.49317 43.60365, -79.49341 43.60422, -79.49351 43.60449, -79.49376 43.60507, -79.49391 43.60546, -79.49408 43.60588, -79.49444 43.60672, -79.49448 43.60681, -79.49479 43.60756, -79.49512 43.60837, -79.49545 43.60921, -79.49582 43.61004, -79.49588 43.61019, -79.49615 43.61085, -79.49654 43.61176, -79.49675 43.61224, -79.49713 43.61309, -79.49764 43.61432, -79.49791 43.61503, -79.4981 43.61561, -79.49814 43.61571, -79.49837 43.61617, -79.49892 43.6175, -79.4993 43.61838, -79.49959 43.61906, -79.49964 43.6192, -79.49993 43.61991, -79.50004 43.62017, -79.50029 43.62073, -79.5004 43.62101, -79.50062 43.62157, -79.50086 43.62238, -79.50092 43.62252, -79.501 43.62273, -79.50109 43.62293, -79.50113 43.62304, -79.50126 43.62329, -79.50155 43.62382, -79.50175 43.62429, -79.50183 43.62447, -79.50192 43.62468, -79.50248 43.62598, -79.50263 43.62634, -79.5028 43.62676, -79.50287 43.62697, -79.50287 43.62697, -79.50314 43.62767, -79.50314 43.62767, -79.50333 43.6281, -79.50336 43.62819, -79.50365 43.62887, -79.50392 43.62949, -79.50396 43.62958, -79.50448 43.63081, -79.50492 43.63182, -79.50506 43.63218, -79.50506 43.63218, -79.50529 43.63272, -79.50548 43.6332, -79.50568 43.63367, -79.50581 43.63396, -79.50705 43.63694, -79.50715 43.63714, -79.50729 43.63737, -79.50743 43.63758, -79.5076 43.63779, -79.50774 43.63793, -79.5078 43.63799, -79.50785 43.63803, -79.50818 43.63836, -79.50825 43.63845, -79.50835 43.6386, -79.50843 43.63878, -79.50851 43.63896, -79.50857 43.63911, -79.50861 43.63928, -79.50865 43.63945, -79.50867 43.6396, -79.50869 43.63973, -79.50868 43.64026, -79.50869 43.64046, -79.50869 43.64056, -79.5087 43.64067, -79.50872 43.64073, -79.50876 43.64086, -79.50892 43.6413, -79.50909 43.64177, -79.50927 43.64224, -79.50932 43.6424, -79.50937 43.64255, -79.50989 43.64383, -79.51003 43.64418, -79.51063 43.6456, -79.51117 43.6469, -79.51136 43.64736))"
"1089",Sheppard Ave E,142.9 M W Twyn Rivers Dr,Kingston Rd,"2004","2009","5",Bike Lane,PL,Minor Arterial,Arterial,Pre-2009,"PL inst, pre 2009, no upgr sv: https://www.google.com/maps/@43.7992762,-79.1465314,3a,75y,94.56h,67.4t/data=!3m7!1e1!3m5!1sYhqdQPlvuJ334G29Mkg58Q!2e0!5s20090501T000000!7i13312!8i6656?entry=ttu",,,,,,,,,,"2.067160328768789","209",pre_year,,,,"2009",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.16743 43.80913, -79.16725 43.80915, -79.16711 43.80915, -79.16696 43.80915, -79.16685 43.80914, -79.16673 43.80913, -79.16664 43.80912, -79.16654 43.80912, -79.16644 43.8091, -79.16634 43.80908, -79.16623 43.80906, -79.1662 43.80905, -79.16613 43.80903, -79.16605 43.80901, -79.16602 43.809, -79.16596 43.80897, -79.16586 43.80894, -79.16575 43.80891, -79.16567 43.80887, -79.16559 43.80885, -79.1655 43.80878, -79.16536 43.80869, -79.16493 43.80845, -79.1641 43.80797, -79.16338 43.80756, -79.16313 43.80741, -79.16292 43.80726, -79.16217 43.80686, -79.162 43.80676, -79.16088 43.8061, -79.15971 43.80543, -79.15854 43.80475, -79.15818 43.80456, -79.15804 43.80448, -79.15793 43.80441, -79.15752 43.80416, -79.15748 43.80414, -79.15666 43.80367, -79.15621 43.8034, -79.15591 43.80323, -79.15567 43.80309, -79.15523 43.80285, -79.1551 43.80279, -79.15474 43.80263, -79.15353 43.80213, -79.1528 43.80184, -79.15172 43.80141, -79.15126 43.80122, -79.1508 43.801, -79.14931 43.80038, -79.14911 43.8003, -79.14881 43.80018, -79.14878 43.80017, -79.14874 43.80015, -79.14871 43.80014, -79.14867 43.80012, -79.14863 43.80011, -79.1486 43.80009, -79.14856 43.80008, -79.14852 43.80006, -79.14849 43.80005, -79.14845 43.80003, -79.14841 43.80002, -79.14838 43.8, -79.14834 43.79999, -79.1483 43.79997, -79.14827 43.79996, -79.14823 43.79994, -79.14819 43.79993, -79.14816 43.79991, -79.14812 43.7999, -79.14808 43.79988, -79.14805 43.79987, -79.14801 43.79985, -79.14797 43.79984, -79.14794 43.79982, -79.1479 43.79981, -79.14786 43.79979, -79.14783 43.79977, -79.14782 43.79977, -79.14779 43.79976, -79.14775 43.79974, -79.14772 43.79973, -79.14768 43.79971, -79.14764 43.7997, -79.14761 43.79968, -79.14757 43.79967, -79.14753 43.79965, -79.1475 43.79964, -79.14746 43.79962, -79.14742 43.79961, -79.14739 43.79959, -79.14735 43.79958, -79.14734 43.79957, -79.14731 43.79956, -79.14728 43.79955, -79.14724 43.79953, -79.14721 43.79952, -79.14717 43.7995, -79.14713 43.79949, -79.1471 43.79947, -79.14706 43.79945, -79.14702 43.79944, -79.14699 43.79942, -79.14695 43.7994, -79.14692 43.79939, -79.14688 43.79937, -79.14685 43.79935, -79.14681 43.79933, -79.14678 43.79932, -79.14675 43.7993, -79.14671 43.79928, -79.14667 43.79927, -79.14664 43.79925, -79.1466 43.79923, -79.14657 43.79921, -79.14654 43.79919, -79.14651 43.79917, -79.14648 43.79915, -79.14646 43.79912, -79.14643 43.7991, -79.1464 43.79908, -79.14637 43.79906, -79.14622 43.79892))"
"1097",Sheppard Ave E,Morningside Ave,Meadowvale Rd Trl,"2004","2007","3",Bike Lane,PL,Major Arterial,Arterial,Pre-2007,"PL inst pre 2007, no upgr, SV: https://www.google.com/maps/@43.8083678,-79.1710786,3a,35.9y,280.91h,81.47t/data=!3m7!1e1!3m5!1slaMhPzQd5GKZVTUIWTsd1Q!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",,,,,,,,,,"2.415504656587315","91",pre_year,,,,"2007",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.19977 43.80197, -79.1965 43.80271, -79.19488 43.80308, -79.19484 43.80309, -79.19254 43.80361, -79.19234 43.80367, -79.19015 43.80416, -79.18851 43.80453, -79.18798 43.80463, -79.18736 43.80479, -79.18661 43.80498, -79.18521 43.80526, -79.18355 43.80561, -79.18274 43.80579, -79.18039 43.80629, -79.18016 43.80634, -79.1801 43.80635, -79.17852 43.80669, -79.17555 43.80734, -79.1739 43.8077, -79.17099 43.80834))"
"1099",Birmingham St,Kipling Ave,Islington Ave,"2004","2007","3",Cycle Track,PL,Collector,Collector,pre-2007,"Sep 2007 SV: https://www.google.com/maps/@43.6007637,-79.5177652,3a,75y,96.08h,71.71t/data=!3m7!1e1!3m5!1sh2kBF9__Ofk-P2NnUkunzQ!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu","2021",Sep-21,PBL,"Cycle track with bollards except at entrances/intersections; SV Sep 2021: https://www.google.com/maps/@43.6009014,-79.5169941,3a,75y,62.91h,74.18t/data=!3m7!1e1!3m5!1stnPxqKppweMkTqhblyHFhA!2e0!5s20210901T000000!7i16384!8i8192?entry=ttu",,,,,,"0.9861590971861078","15",pre_year,,,,"2007",,"1",month,,2021/09/01 00:00:00,2021-09-30,,,,,,,,,,,"1",,"MULTILINESTRING ((-79.50631 43.60327, -79.50748 43.603, -79.50867 43.60274, -79.5094 43.60259, -79.51009 43.60244, -79.51077 43.60229, -79.51141 43.60215, -79.51283 43.60184, -79.5134 43.60171, -79.51392 43.60159, -79.51445 43.60147, -79.51499 43.60136, -79.5161 43.60112, -79.51706 43.60091, -79.51802 43.60068))"
"1109",Cosburn Ave,Broadview Ave,Coxwell Ave,"2005","2007","2",Bike Lane,PL,Minor Arterial,Arterial,Pre-2007,"Sep 2007 SV: https://www.google.com/maps/@43.6884767,-79.3535424,3a,75y,64.14h,74.23t/data=!3m7!1e1!3m5!1sy8GAGq9KumoR0cArTt1iTQ!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",,,,,,,,,,"2.298162249228189","91",pre_year,,,,"2007",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.35527 43.68855, -79.35488 43.6885, -79.35446 43.68842, -79.35444 43.68842, -79.35434 43.6884, -79.35426 43.68839, -79.35417 43.68839, -79.35408 43.6884, -79.35331 43.68855, -79.34938 43.68932, -79.34882 43.68943, -79.34537 43.69009, -79.34267 43.69062, -79.34252 43.69066, -79.34235 43.69069, -79.34221 43.69075, -79.34211 43.69081, -79.34205 43.69086, -79.34169 43.69117, -79.34115 43.69129, -79.34065 43.6914, -79.33968 43.69162, -79.33872 43.69182, -79.33776 43.69203, -79.33677 43.69225, -79.3357 43.6925, -79.33456 43.69274, -79.3343 43.69279, -79.3334 43.69297, -79.33308 43.69304, -79.33237 43.69319, -79.33205 43.69326, -79.33114 43.69348, -79.33013 43.69371, -79.32998 43.69372, -79.32907 43.6939, -79.32802 43.69414))"
"1110",Logan Ave,Gerrard St E,Dundas St E,"2005","2009","4",Bike Lane,PL,Collector,Collector,Pre-2009,"PL installed pre 2009, no upgrades since: https://www.google.com/maps/@43.6653256,-79.3444839,3a,61.2y,191.51h,70.73t/data=!3m7!1e1!3m5!1shHVJieSPHKS__iezcaHJAA!2e0!5s20090401T000000!7i13312!8i6656?entry=ttu",,,,,,,,,,"0.368640290452452","209",pre_year,,,,"2009",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.34386 43.66392, -79.3439 43.66403, -79.34407 43.66444, -79.3441 43.66451, -79.34423 43.66477, -79.34434 43.66505, -79.34484 43.66627, -79.34501 43.66667, -79.34506 43.66679, -79.3452 43.66709))"
